name,par_1,par_2,par_3,par_4,par_5,par_6,par_7,par_8,par_9,par_10,par_11,par_12,par_13,par_14,par_15,par_16,par_17,par_18,par_19,par_20,par_21,par_22,par_23,par_24,par_25,par_26,par_27,par_28,par_29,par_30,par_31,par_32,par_33,par_34,par_35,par_36
17 (72).m4a,0.19884677,0.08112378,0.05651693,0.10532753,0.147862,0.28663695,0.72592896,0.9042779,0.58980983,0.25325677,0.19222112,0.22749442,0.20422012,0.06375074,0.0771268,0.120533735,0.12896805,0.16695218,0.21479517,0.16324754,0.23720211,0.14460184,0.1927022,0.26296648,0.9959839,0.40035418,0.639893,0.80319965,0.73320067,0.89078337,1.0,1.0,1.0,0.7159994,0.9165123,1.0
16 (73).m4a,0.7457873,0.81336737,0.50025856,0.2929581,0.28207093,0.38366482,0.53402746,0.32972383,0.16680817,0.12476224,0.20726745,0.54118127,0.2444849,0.24127574,0.20015533,0.19820157,0.19973439,0.23220941,0.31150076,0.23971914,0.13025206,0.108559385,0.13317652,0.24621055,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8974071,0.7670464,0.9285102,1.0
18 (15).m4a,0.3647733,0.30146632,0.38119072,0.53375745,0.4767057,0.28015822,0.28628203,0.38500908,0.69385594,0.8088828,0.55769366,0.45171678,0.27835178,0.2735975,0.29270184,0.35504988,0.29655322,0.21452147,0.20095156,0.18066639,0.19275577,0.24141861,0.18007894,0.26138774,1.0,1.0,1.0,1.0,1.0,1.0,0.96286887,1.0,1.0,1.0,1.0,1.0
3 (1).m4a,0.40423217,0.37246752,0.35490975,0.3849816,0.41315645,0.49589357,0.8400957,0.39562532,0.24514431,0.23702614,0.33083272,0.39398903,0.3379659,0.31788942,0.3069934,0.33750314,0.3419597,0.26404107,0.21907315,0.23382457,0.24194804,0.23257744,0.29540884,0.33988002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14 (24).m4a,0.14344859,0.10211928,0.1298501,0.19222161,0.33576557,0.30050343,0.5675733,0.8087792,0.53480047,0.22220714,0.1199059,0.12673809,0.19614464,0.10786657,0.15326765,0.217896,0.3720397,0.19356368,0.28002247,0.22830144,0.3099385,0.23584856,0.1380657,0.21675645,1.0,0.6088353,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.73156846,1.0
17 (74).m4a,0.28268224,0.1311283,0.10346778,0.12485622,0.1694902,0.32466394,0.7457443,0.8921893,0.6814869,0.3318876,0.25685057,0.30682275,0.26808006,0.15279746,0.14326006,0.14774428,0.13651305,0.17279358,0.21063258,0.1758907,0.22403988,0.19377948,0.2437586,0.31094322,1.0,1.0,0.85916346,1.0,0.62166315,0.989954,1.0,1.0,1.0,0.87473327,1.0,1.0
5 (21).m4a,0.48116925,0.11561923,0.0700581,0.082694046,0.07921369,0.07192908,0.047916405,0.042487733,0.087657094,0.24517426,0.4313491,0.85740465,0.2858906,0.1193725,0.10732451,0.12821838,0.13466744,0.10733419,0.06839662,0.06133584,0.1216751,0.30555788,0.27951315,0.2759424,1.0,0.57925653,0.781839,0.95001906,1.0,0.7589193,0.4996499,0.5059124,0.8771928,1.0,1.0,1.0
22 (63).m4a,0.06297535,0.1401577,0.64989305,0.8763126,0.32097682,0.065679684,0.024160812,0.026798483,0.11499114,0.36104167,0.21851322,0.10808393,0.061152767,0.118787,0.24440975,0.21506524,0.15075737,0.12190064,0.0688308,0.033422064,0.11651143,0.36189252,0.22805133,0.12190102,0.38406426,0.60002995,1.0,1.0,0.82454944,1.0,0.5859542,0.24481322,0.48423877,1.0,1.0,1.0
4 (26).m4a,0.45477286,0.41047955,0.38986486,0.49648386,0.43885744,0.46555066,0.46640226,0.47994846,0.43221134,0.37008354,0.3860072,0.42098427,0.35660154,0.31445038,0.27014363,0.32544953,0.2657933,0.31217346,0.33266088,0.3676893,0.3294925,0.29371354,0.32510334,0.33699962,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21 (39).m4a,0.56130916,0.611735,0.48664296,0.47302186,0.48067132,0.42379725,0.37611383,0.335695,0.36306643,0.3866582,0.39170516,0.39699286,0.2952131,0.30136174,0.3297216,0.34062883,0.35532314,0.31102815,0.31187624,0.286072,0.28195935,0.25144574,0.2724394,0.2496665,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9 (21).m4a,0.17923237,0.19135986,0.20231171,0.36165226,0.9778176,0.35147846,0.18878144,0.16694422,0.14127102,0.1340377,0.12818506,0.14801365,0.23507302,0.25160947,0.25467172,0.20344858,0.091067605,0.17942497,0.20553356,0.19966587,0.17961721,0.17070673,0.1636994,0.1754011,1.0,1.0,1.0,1.0,1.0,0.927015,1.0,1.0,0.9823803,0.9221786,1.0,0.9676491
1 (20).m4a,0.5627663,0.6787382,0.6124974,0.5279631,0.4727127,0.57992023,0.711646,0.5766118,0.4810672,0.3852859,0.37934262,0.4664331,0.24063042,0.29179186,0.25420687,0.24345781,0.2214467,0.24449402,0.26171428,0.21865118,0.22254139,0.20294032,0.21110363,0.2380252,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
