name,par_1,par_2,par_3,par_4,par_5,par_6,par_7,par_8,par_9,par_10,par_11,par_12,par_13,par_14,par_15,par_16,par_17,par_18,par_19,par_20,par_21,par_22,par_23,par_24,par_25,par_26,par_27,par_28,par_29,par_30,par_31,par_32,par_33,par_34,par_35,par_36,par_37,par_38,par_39
17 (72).m4a,-299.72885,63.955532,-128.11281,57.705006,32.685696,7.0318627,11.341708,10.861566,-0.98205954,-41.48926,-43.35742,-5.085706,1.0941453,0.85525537,0.3006539,-0.43283284,-0.11066555,-0.008593975,-0.20145194,-2.7921684e-05,0.07648355,-0.033260558,0.06319897,0.10993415,-0.021409838,-0.026784755,-0.040982716,0.045908865,0.0139926225,-0.07175386,0.034596335,-0.056675702,-0.017400896,0.012353612,0.01903424,0.07124416,0.072110295,0.029880175,0.04212326
16 (73).m4a,-233.50291,170.89505,-65.54549,18.692743,-58.178818,8.112427,40.70036,-23.185444,-32.126804,-6.3496127,-38.774357,-24.388325,7.8776183,0.006168135,-0.21810386,0.07850326,-0.15059797,0.07180593,-0.052284356,-0.11278919,-0.023595307,-0.056889545,-0.06362458,0.03736064,0.045987118,-0.035391793,-0.3169491,-0.15739489,0.1474923,0.03165077,0.044179335,0.012944856,0.014608756,0.045046095,0.040418573,0.015906062,0.041743148,0.048714664,0.009269596
18 (15).m4a,-438.24158,107.32512,-119.60215,61.90301,23.017582,40.562923,-18.50578,5.8236694,-6.9941797,-23.598284,-14.630277,-10.1134405,-4.987765,0.20733705,0.1370366,0.024371086,0.040812243,0.06971077,0.06393932,0.026988361,-0.0665824,-0.0054294947,0.016305652,-0.049921066,0.037732895,-0.05214184,-1.1412038,-0.03396818,0.3527356,-0.06964344,0.18036006,-0.112146,0.14238818,-0.04758939,0.046294864,0.093310006,0.024939332,0.08037657,0.062405396
3 (1).m4a,-619.2944,67.47913,4.4565415,-16.64487,-4.0601354,1.5439305,-2.754145,-6.079371,-13.207736,-22.26917,-21.88662,-7.7027807,1.3852987,-0.15613739,-0.16139458,-0.044114944,0.025696538,0.01690019,-0.021486742,-0.033871062,-1.6608892e-05,0.0634615,0.10982356,0.09704143,0.039490823,-0.0011441258,-0.059422437,-0.05845003,-0.011194794,0.0118468255,0.0070113232,0.0007706514,0.0036758126,0.00662767,0.0056852107,0.004330908,0.0024028262,-5.455578e-07,0.0011626505
14 (24).m4a,-169.69661,106.048195,-143.1138,8.913172,-28.134802,9.826011,-13.080037,38.988514,23.59433,-32.46307,-27.65163,-18.208117,-0.2260383,-0.60746306,-0.22217457,0.2493335,0.005469414,0.14158513,0.04794395,0.08201549,-0.0027094155,-0.053622678,0.0073867785,-0.016524285,-0.020978695,0.020180989,-0.6286794,-0.12585232,0.10517669,-0.07907485,0.13151357,-0.021219159,0.062059857,-0.052892596,0.0034693829,0.057984125,0.018157436,0.039645486,0.0113101825
17 (74).m4a,-328.28604,63.74236,-119.84878,54.79168,40.067696,0.0021329776,11.5331,11.886214,-4.387239,-39.526417,-42.872707,-3.8094308,3.1714637,1.0128934,0.16772215,-0.72291595,-0.072680295,0.20341486,-0.2169436,0.1886058,0.12948187,0.08692473,0.1787961,0.051014017,0.06551081,0.080167726,-0.11639479,-0.01738638,0.16491775,-0.05414889,-0.031960573,-0.020813474,-0.058846533,0.0068369485,0.060468484,0.038878966,0.053894073,0.0030017185,0.031497117
5 (21).m4a,-251.41774,21.552969,-33.741417,113.48414,22.941038,8.100144,-7.7547097,49.974865,-23.252514,-19.669733,-6.5475264,3.7939553,-27.302124,0.13582808,0.019716188,0.04538906,0.025821159,-0.043086518,-0.045813058,0.043676678,-0.031745486,-0.062906444,0.014908363,0.016819442,-0.022082658,0.00051595113,-0.17008834,-0.02798922,-0.020234432,-0.044778693,-0.021578005,-0.025826635,0.03216228,-0.016068785,0.039219946,0.03851071,0.033494953,-0.025750512,0.07117832
22 (63).m4a,-347.60938,101.739044,-5.1978874,78.35847,-75.66728,-21.861952,6.938958,-47.716724,-25.969131,-31.15117,-36.75658,22.809626,-0.7172862,-0.016731458,-0.12784038,-0.014369294,0.09841837,0.038004022,0.026099293,-0.063804485,-0.028920518,0.021598784,0.10000143,0.08249509,-0.04194297,0.02168888,-0.083448246,-0.034905773,-0.08340184,-0.06288539,0.096135,0.033361934,-0.044503942,0.020272875,0.05440356,0.00914175,0.0028068828,-0.06743813,-0.0035388838
4 (26).m4a,-308.75928,53.96148,-29.521786,3.339341,-17.91641,-16.618208,-8.764067,-2.7527297,-35.448986,-13.650806,-41.492886,-4.4450555,-11.195155,-0.30360067,-0.12319381,-0.052233957,-0.065576114,0.024489406,0.017241104,0.016443135,0.00038287294,-0.012499662,-0.0063526765,0.09600431,0.02401457,0.050309412,-0.6145278,-0.051564634,0.11772134,-0.001681958,0.050771877,0.045616385,0.05855128,0.022140225,0.117333576,0.026227685,0.07645706,0.000960699,0.039803788
21 (39).m4a,-303.19345,68.29031,7.7032137,82.6321,-11.356937,43.636692,-2.3675547,13.593143,3.6101007,-11.428361,-20.445402,8.860398,-18.471634,-0.37984255,0.13130182,0.25741324,-0.19052903,0.09724531,0.029805243,0.0014679787,0.05997625,0.012171568,0.05319902,0.03567142,0.0450394,-0.021644134,-0.455661,0.011949588,0.08816205,-0.06934262,0.038006436,-0.055669494,0.035677534,-0.051245462,0.034322955,-0.019605206,-0.00089649897,0.029956186,0.017768195
