name,par_1,par_2,par_3,par_4,par_5,par_6,par_7
17 (72).m4a,3898.416,106.22241,3373.0999,3995.694,3931.456,3875.0603,3962.0815
16 (73).m4a,1712.805,160.36873,1292.9414,2417.9575,1692.2932,1596.068,1851.5084
18 (15).m4a,3832.7026,141.0044,3140.2915,3993.3662,3870.3103,3798.7554,3922.3262
3 (1).m4a,2637.1123,870.3841,353.1719,3981.9922,3079.295,1452.0867,3246.4814
14 (24).m4a,3737.6667,196.11816,3183.7117,3995.995,3797.8916,3580.4841,3891.2278
17 (74).m4a,3898.5605,120.04999,3497.1882,3994.2935,3941.7046,3889.8245,3968.5347
5 (21).m4a,3941.6594,50.66362,3502.004,3995.1482,3953.4426,3926.8164,3970.7583
22 (63).m4a,686.1071,187.65498,591.2035,1452.8096,627.9894,617.62,655.73083
4 (26).m4a,3376.1313,942.64215,1237.9818,3996.02,3892.4055,3432.4504,3944.46
21 (39).m4a,1213.4315,1416.4856,153.03194,3994.351,520.3703,466.39484,632.1997
9 (21).m4a,3090.8962,556.7318,2569.7764,3937.891,2740.0942,2591.463,3836.87
1 (20).m4a,2706.401,916.57275,625.16974,3984.4233,3221.637,1857.0227,3449.478
7 (2).m4a,2974.7234,1060.4088,248.11746,3993.9153,3281.8655,2043.076,3925.9236
14 (14).m4a,3848.0068,185.5379,2849.7632,3995.7944,3914.384,3822.1099,3957.1436
7 (10).m4a,3657.2412,407.54272,404.11392,3995.713,3736.4824,3541.6003,3880.6384
16 (71).m4a,1758.914,165.78488,1380.0137,2442.1877,1758.0468,1634.9371,1854.062
8 (18).m4a,547.2864,746.87256,153.46028,3674.3977,346.84232,279.6363,438.9135
6 (53).m4a,2683.7969,505.6866,175.54935,3984.9636,2746.077,2399.6929,2933.928
2 (43).m4a,3906.6006,325.61124,422.00385,3995.7556,3952.1912,3922.5667,3974.8745
5 (34).m4a,3782.6777,204.21481,3122.4883,3987.7512,3868.9082,3712.6414,3940.1104
